-t-;EUPH
a;AUX|VB
à;PREP
après;PREP
au;PREP+DET
ce;DET
contre;PREP;; par contre
côté#à côté de
d’;DET|PREP
dans;PREP;;#|NOM interdit : troisième dan de karaté
de;PREP|DET
des;DET|PREP
dont;CONJ
du;DET|PREP
en;PREP;;#|ADV interdit 
et;CONJ
il;PRO
l’;DET|PRO
la;DET|PRO
le;DET|PRO
les;DET|PRO
Les;DET|PRO
leur;DET|PRO
lui;PRO
notre;DET|PRO;;#mais pas que non plus
on;PRO
par;PREP
puisqu’;CONJ
qu’;PRO
quant;CONJ;;quant à
que;PRO
qui;PRO
quoi;PRO
sa;DET
son;DET
sous;PREP
sur;PREP
tant;CONJ;;|ADV dans tant que
un;DET
une;DET;; #|nom la une d'un journal
